Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
7,Albany (NY) NCAA,33,24,9,0.727,-0.34,-5.18,15.0,1.0,12,3,12,5,2156,1996,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296,98.5,0.303,0.416,0.527,46.5,54.5,7.8,10.6,0.496,17.7,26.1,0.212
11,Arizona NCAA,38,34,4,0.895,24.33,7.41,16.0,2.0,17,0,8,3,2911,2268,66.5,114.8,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338,89.4,0.373,0.315,0.494,43.2,47.6,7.1,6.3,0.451,18.5,22.4,0.26
13,Arkansas NCAA,36,27,9,0.75,14.07,6.79,13.0,5.0,17,2,7,5,2787,2525,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12.0,0.5,14.3,35.7,0.27,99.3,0.388,0.312,0.525,49.8,51.6,8.1,6.9,0.483,19.1,34.6,0.278
20,Baylor NCAA,34,24,10,0.706,17.85,9.33,11.0,7.0,16,2,6,5,2349,2048,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26,95.2,0.318,0.356,0.485,44.1,69.4,10.4,10.9,0.455,16.3,31.0,0.205
21,Belmont NCAA,33,22,11,0.667,0.35,-2.77,11.0,5.0,12,2,7,8,2450,2330,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29.0,0.225,104.5,0.285,0.366,0.543,49.7,50.7,9.7,12.5,0.515,16.3,29.6,0.203
24,Boise State NCAA,34,25,9,0.735,10.01,1.38,14.0,4.0,13,1,8,5,2390,2045,62.4,110.6,0.324,0.416,0.568,52.1,49.2,9.5,7.0,0.537,14.2,28.4,0.236,94.6,0.318,0.36,0.506,47.9,49.2,7.5,9.9,0.472,17.6,25.4,0.222
29,Brigham Young NCAA,35,25,10,0.714,13.53,5.02,13.0,5.0,13,3,8,3,2931,2561,70.7,116.7,0.424,0.365,0.584,53.2,60.9,10.2,7.4,0.539,14.2,34.1,0.325,102.0,0.386,0.325,0.527,46.8,55.1,9.2,9.4,0.489,15.8,28.5,0.27
33,Buffalo NCAA,33,23,10,0.697,7.93,1.6,12.0,6.0,11,2,9,7,2462,2253,68.7,108.5,0.426,0.303,0.533,52.0,51.7,10.9,11.3,0.487,14.1,34.5,0.306,99.3,0.343,0.379,0.515,48.0,49.3,9.0,8.1,0.485,17.0,30.4,0.228
34,Butler NCAA,34,23,11,0.676,16.64,8.62,12.0,6.0,13,3,7,4,2346,2073,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7,0.279,93.5,0.333,0.342,0.501,45.8,50.5,8.3,11.3,0.467,17.2,25.3,0.227
49,Cincinnati NCAA,34,23,11,0.676,10.72,4.4,13.0,5.0,15,3,6,5,2113,1898,59.6,102.8,0.371,0.297,0.527,53.5,51.8,10.8,15.4,0.495,17.7,37.3,0.249,92.3,0.261,0.333,0.468,46.5,54.0,9.2,8.2,0.441,16.8,32.3,0.17
