Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
4,Alabama NCAA,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,2604,2543,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.4,0.281,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16,30.8,0.25,32
11,Arizona NCAA,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,2818,2509,68.6,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.3,0.281,103,0.312,0.356,0.534,44.4,49.8,8.8,6.8,0.499,14.7,25.1,0.229,64
12,Arizona State NCAA,32,20,12,0.625,14.37,6.55,8,10,13,4,4,6,2645,2395,72.2,113.5,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303,102.8,0.327,0.399,0.54,51,57,7.4,9.8,0.507,17.6,30.6,0.235,68
13,Arkansas NCAA,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,2819,2647,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,105,0.408,0.416,0.547,51.1,54.7,6.6,8.7,0.504,16.8,31.5,0.297,64
17,Auburn NCAA,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32,0.308,99.6,0.381,0.396,0.537,48.3,52.4,8.3,9.3,0.497,18.2,27.9,0.275,32
32,Bucknell NCAA,35,25,10,0.714,4.49,-3.46,16,2,15,1,10,8,2837,2559,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,27,0.306,99.5,0.345,0.317,0.514,49.2,49.2,9,9.3,0.478,15,27.4,0.24,64
33,Buffalo NCAA,36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,113.4,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.8,0.208,102,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.9,0.29,32
34,Butler NCAA,35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,69.6,111,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.4,0.202,102.1,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24.1,0.262,32
37,Cal State Fullerton NCAA,32,20,12,0.625,-0.93,-1.03,10,6,9,4,7,7,2318,2245,69.9,102.8,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,27.1,0.316,99.5,0.348,0.341,0.518,48.9,51.6,8,9.3,0.472,16,27.5,0.263,64
49,Cincinnati NCAA,36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.1,112.3,0.36,0.353,0.543,55.6,60.4,10.8,15.8,0.512,14.1,38.5,0.249,87,0.268,0.378,0.465,44.4,48.8,7.5,7.8,0.433,18.8,27.9,0.183,32
