Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
4,Alabama NCAA,high,low,high,low,medium,high,low,high,low,high,low,high,low,high,medium,low,high,low,low,low,low,medium,high,low,high,medium,high,medium,high,medium,low,high,low,high,high,low,medium,high,high,32
11,Arizona NCAA,medium,high,low,high,medium,medium,high,low,medium,low,medium,low,high,medium,medium,high,high,low,high,high,medium,low,high,high,medium,high,high,high,medium,low,high,low,medium,high,low,high,low,low,medium,64
12,Arizona State NCAA,low,low,medium,low,medium,medium,low,high,low,high,low,medium,medium,medium,high,high,high,high,high,low,low,medium,medium,medium,low,low,high,high,high,high,high,high,high,low,high,high,high,high,high,68
13,Arkansas NCAA,medium,medium,medium,medium,medium,high,low,high,medium,medium,low,medium,high,high,high,medium,high,low,medium,low,low,medium,high,medium,low,medium,medium,high,high,high,high,high,high,low,medium,high,medium,high,high,64
17,Auburn NCAA,low,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,high,medium,high,medium,high,high,medium,medium,medium,high,high,low,low,medium,high,medium,high,high,high,medium,high,medium,medium,high,high,medium,high,32
32,Bucknell NCAA,medium,medium,medium,medium,low,low,high,low,medium,low,high,high,high,high,high,medium,high,medium,high,low,low,low,medium,medium,medium,low,high,medium,high,low,low,medium,medium,high,medium,low,low,medium,high,64
33,Buffalo NCAA,high,high,medium,medium,low,low,high,low,medium,low,medium,low,high,high,high,high,low,high,high,medium,medium,low,medium,high,low,medium,low,high,high,low,medium,medium,low,medium,high,medium,medium,medium,high,32
34,Butler NCAA,medium,low,high,low,high,high,low,high,medium,medium,low,medium,high,high,medium,medium,low,medium,medium,medium,low,medium,low,medium,low,low,low,high,high,medium,high,medium,medium,low,medium,high,high,low,high,32
37,Cal State Fullerton NCAA,low,low,medium,low,low,low,low,medium,low,high,medium,medium,low,low,medium,low,high,low,medium,medium,low,medium,low,low,high,low,high,medium,high,low,medium,medium,medium,medium,medium,low,medium,medium,high,64
49,Cincinnati NCAA,high,high,low,high,high,medium,high,low,medium,low,high,low,medium,low,low,high,medium,low,low,high,high,high,high,low,low,high,medium,low,low,medium,low,low,low,low,low,low,high,medium,low,32
50,Clemson NCAA,medium,medium,medium,medium,high,high,low,medium,medium,low,low,medium,low,low,low,low,medium,medium,medium,medium,low,low,high,medium,medium,low,medium,low,low,medium,low,medium,low,medium,high,low,low,low,low,16
54,College of Charleston NCAA,low,medium,low,medium,low,low,high,low,medium,low,medium,medium,low,low,low,medium,high,medium,medium,low,low,low,medium,medium,low,low,high,high,medium,medium,medium,high,medium,low,medium,medium,low,medium,medium,64
61,Creighton NCAA,low,low,medium,low,high,medium,low,high,high,medium,low,medium,medium,medium,high,high,low,high,high,medium,high,low,low,high,low,low,low,medium,low,medium,medium,medium,medium,medium,medium,medium,low,low,low,64
63,Davidson NCAA,low,low,medium,low,medium,low,medium,medium,low,low,medium,high,low,low,low,high,low,high,high,low,high,low,low,high,low,low,low,high,medium,high,high,medium,high,low,medium,high,low,low,low,64
72,Duke NCAA,high,high,low,high,high,high,medium,medium,medium,low,medium,low,high,high,high,high,medium,medium,high,high,high,high,high,high,medium,high,medium,low,low,medium,low,low,high,medium,low,low,low,high,low,8
84,Florida NCAA,low,low,high,low,high,high,low,medium,low,high,low,low,low,low,low,medium,medium,high,low,low,low,high,high,low,low,medium,medium,medium,medium,low,medium,high,low,low,medium,medium,high,high,high,32
89,Florida State NCAA,medium,medium,medium,medium,medium,medium,low,high,low,medium,low,medium,high,high,high,medium,high,medium,medium,medium,medium,medium,high,medium,high,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,high,medium,8
99,Georgia State NCAA,medium,medium,medium,medium,low,low,medium,medium,low,medium,high,medium,medium,medium,low,medium,low,high,medium,low,low,high,high,medium,medium,low,low,low,high,high,low,high,high,low,high,low,high,high,high,64
