Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
1,Abilene Christian NCAA,34,27,7,0.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,67.2,108.7,0.336,0.345,0.565,50.3,58.5,12.9,8,0.535,15.5,28.8,0.239,93.8,0.37,0.333,0.529,49.7,47.3,8.3,7.4,0.488,21.5,27.3,0.267,62,64
12,Arizona State NCAA,34,23,11,0.676,10.28,6.04,12,6,13,3,6,5,2638,2494,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298,99.6,0.386,0.435,0.525,47.4,54.2,8.8,8.7,0.485,16.7,26.5,0.272,45,64
17,Auburn NCAA,40,30,10,0.75,20.84,10.92,11,7,15,2,4,6,3188,2750,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.543,14.3,31.6,0.221,98.4,0.359,0.435,0.545,50.8,52.2,8.1,11.7,0.512,21.3,31.7,0.254,18,4
20,Baylor NCAA,34,20,14,0.588,13.38,9.26,10,8,13,5,5,6,2442,2302,66.5,107.6,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.6,0.219,101.4,0.365,0.382,0.525,45.9,55.6,8.9,12.6,0.491,16.1,28.9,0.249,35,32
21,Belmont NCAA,33,27,6,0.818,9.12,-2.6,16,2,13,1,12,3,2868,2439,74.2,116.2,0.286,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1,0.211,98.8,0.27,0.352,0.512,47.8,44.9,8.1,9.9,0.484,14.5,24.1,0.188,42,64
28,Bradley NCAA,35,20,15,0.571,-0.08,-0.9,9,9,10,6,5,8,2329,2285,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8,11.6,0.497,16.7,26.9,0.248,98.3,0.351,0.398,0.518,49.3,53.3,8.4,7.4,0.477,16.4,26.2,0.254,61,64
33,Buffalo NCAA,36,32,4,0.889,15.56,2.62,16,2,14,0,12,3,3037,2550,74.5,112.8,0.327,0.436,0.561,52.4,55.3,9.8,10.1,0.535,13.8,31.8,0.225,94.7,0.315,0.363,0.509,47.6,40.6,7.1,8.5,0.474,18.1,26.3,0.221,23,32
50,Cincinnati NCAA,35,28,7,0.8,14.53,5.5,14,4,16,2,7,4,2510,2194,65,109.5,0.376,0.333,0.528,53.7,53.4,9.3,14.5,0.49,13.3,36.9,0.265,95.7,0.305,0.428,0.513,46.3,50.7,5.8,9.4,0.486,18.2,28.8,0.202,27,64
54,Colgate NCAA,35,24,11,0.686,1.23,-3.83,13,5,15,1,9,9,2648,2458,67.8,110.3,0.282,0.409,0.585,52.7,56.6,8.9,10,0.559,16.8,29.1,0.21,102.4,0.285,0.405,0.532,47.3,51.4,10.4,9.5,0.503,15.5,26.3,0.203,60,64
73,Duke NCAA,38,32,6,0.842,26.9,11.98,14,4,15,2,7,2,3143,2576,73.2,112.6,0.332,0.373,0.561,53.8,52.4,12.4,16.4,0.536,14.8,35.3,0.228,92.3,0.24,0.349,0.479,46.2,49.9,8.7,8,0.45,16.7,29.1,0.167,1,8
