Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
3,Akron NCAA,34,24,10,0.706,0.91,-3.93,14,6,12,3,8,4,2402,2130,64.1,109.8,0.39,0.416,0.563,53,47.9,9.1,9.2,0.533,15.4,30.6,0.268,97.3,0.258,0.354,0.511,47,41,8.5,7.3,0.482,16.1,25.7,0.183,54,64
4,Alabama NCAA,33,19,14,0.576,14.62,11.59,9,9,13,3,3,7,2623,2523,73.2,108.1,0.329,0.476,0.547,52.3,53.1,9.6,11.9,0.513,16.7,35.3,0.239,104,0.348,0.357,0.534,47.7,46.3,10.6,11.3,0.498,15.5,30.5,0.249,21,64
11,Arizona NCAA,37,33,4,0.892,22.75,6.84,18,2,17,0,9,3,3107,2518,72.7,114.7,0.349,0.359,0.587,55,65,9.2,13.4,0.556,15.8,34.6,0.258,92.9,0.24,0.347,0.471,45,47.2,9.5,7.4,0.444,15,28.6,0.162,2,16
13,Arkansas NCAA,37,28,9,0.757,16.27,8.62,13,5,17,1,5,4,2810,2527,72,104.8,0.372,0.342,0.533,52,52.7,10.5,11.7,0.486,14.6,29.5,0.282,94.3,0.319,0.388,0.514,48,52.7,9.1,8.7,0.475,18.3,25.1,0.233,16,8
17,Auburn NCAA,34,28,6,0.824,19.2,8.17,15,3,16,0,8,3,2660,2285,71.3,108.1,0.316,0.398,0.534,52.5,53.1,11.5,21.1,0.499,14.2,33.6,0.231,92.9,0.343,0.36,0.488,47.5,49.2,10.4,10,0.442,17.4,28.9,0.251,5,32
20,Baylor NCAA,34,27,7,0.794,21.73,8.76,14,4,15,2,8,3,2619,2178,68.6,111.5,0.29,0.384,0.553,53.4,56.3,12.7,9.7,0.528,15.1,36.3,0.202,92.7,0.277,0.362,0.509,46.6,55.9,9.3,7.4,0.478,20.1,28.8,0.195,4,32
25,Boise State NCAA,35,27,8,0.771,11.93,5.22,15,3,13,3,9,3,2389,2130,64.9,104.1,0.35,0.388,0.536,53.6,47,9.1,9.6,0.512,15.9,30.6,0.227,92.8,0.258,0.328,0.511,46.4,43.5,7.9,8.6,0.481,18.1,22.1,0.186,29,64
32,Bryant NCAA,32,22,10,0.688,-4.8,-7.41,15,2,14,1,7,7,2497,2348,73,106.1,0.322,0.431,0.538,51.8,50.5,8.8,10.1,0.502,16.1,33.1,0.236,99.8,0.25,0.336,0.495,48.2,54.9,9.9,12.1,0.468,14.1,31.2,0.172,66,68
38,Cal State Fullerton NCAA,32,21,11,0.656,-0.04,-2.28,12,5,11,2,7,7,2239,2129,67.2,104.2,0.351,0.3,0.539,51.1,45.5,10.8,5.7,0.494,15.7,29.7,0.269,99,0.257,0.375,0.535,48.9,54.7,9.2,8.6,0.511,18.3,27.5,0.18,62,64
49,Chattanooga NCAA,35,27,8,0.771,6.12,-0.94,14,4,12,3,12,4,2596,2253,66,111.6,0.266,0.389,0.56,53.7,47,10.8,6.4,0.531,14.2,32.7,0.198,96.9,0.264,0.404,0.509,46.3,45.2,8.4,9.6,0.482,16.2,26.2,0.182,51,64
