Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
4,Alabama NCAA,37,31,6,0.838,23.19,9.65,16.0,2.0,15,0,9,3,3027,2526,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266,92.1,0.326,0.3,0.458,45.6,41.1,9.8,11.6,0.413,13.6,27.9,0.232
11,Arizona NCAA,35,28,7,0.8,19.08,8.34,14.0,6.0,15,2,6,4,2866,2490,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253,97.8,0.255,0.387,0.501,45.8,49.0,10.8,9.5,0.471,14.8,26.1,0.182
12,Arizona State NCAA,36,23,13,0.639,11.29,8.18,11.0,9.0,10,5,7,6,2559,2447,69.0,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2,0.215,97.4,0.335,0.39,0.504,51.2,54.8,8.7,8.2,0.465,17.2,31.5,0.237
13,Arkansas NCAA,36,22,14,0.611,15.99,9.87,8.0,10.0,14,3,2,8,2666,2446,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7,0.274,96.4,0.395,0.305,0.516,48.3,45.1,9.5,6.9,0.472,18.0,27.9,0.282
17,Auburn NCAA,34,21,13,0.618,14.35,9.29,10.0,8.0,14,2,4,8,2474,2302,68.7,105.6,0.363,0.352,0.53,50.4,54.7,11.2,13.6,0.495,15.1,32.8,0.253,98.3,0.389,0.345,0.502,49.6,48.2,10.2,9.1,0.457,16.2,32.4,0.276
20,Baylor NCAA,34,23,11,0.676,17.3,10.54,11.0,7.0,14,3,5,5,2619,2389,67.8,113.3,0.368,0.449,0.57,51.5,54.9,9.6,6.9,0.532,15.2,34.4,0.274,103.3,0.313,0.379,0.547,48.5,60.0,9.0,9.0,0.516,17.4,30.9,0.225
25,Boise State NCAA,34,24,10,0.706,12.78,6.21,13.0,5.0,14,1,6,6,2451,2198,66.8,106.8,0.303,0.378,0.553,52.6,43.8,7.5,8.0,0.521,14.6,27.4,0.222,95.8,0.273,0.371,0.503,47.4,45.4,7.7,9.0,0.473,15.5,23.8,0.192
55,Colgate NCAA,35,26,9,0.743,2.2,-5.86,17.0,1.0,14,2,11,4,2733,2426,68.2,114.5,0.269,0.348,0.594,51.7,61.1,10.4,7.7,0.581,13.4,25.5,0.178,101.7,0.199,0.366,0.539,48.3,54.5,8.8,8.2,0.521,16.1,24.2,0.137
56,College of Charleston NCAA,35,31,4,0.886,8.4,-4.02,16.0,2.0,17,1,11,2,2804,2353,70.7,112.5,0.328,0.477,0.551,54.3,49.8,10.4,7.7,0.515,14.1,35.2,0.244,94.4,0.248,0.322,0.505,45.7,45.7,7.9,11.2,0.48,17.1,25.4,0.168
60,Connecticut NCAA,39,31,8,0.795,22.95,8.51,13.0,7.0,15,2,6,5,3064,2501,68.4,114.9,0.308,0.417,0.573,56.7,63.2,9.2,12.7,0.539,15.8,38.4,0.234,93.8,0.378,0.304,0.494,43.3,41.7,9.7,7.7,0.444,16.3,26.0,0.277
