Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
4,Alabama NCAA,high,high,low,high,high,high,high,low,medium,low,high,low,high,high,high,med-high,high,high,medium,high,medium,low,med-high,medium,high,high,high,low,med-high,low,low,low,low,high,high,low,low,medium,med-high,low,16
11,Arizona NCAA,med-low,med-high,low,high,high,med-high,medium,medium,medium,med-low,med-low,low,high,med-high,high,high,med-high,medium,high,high,high,low,med-low,high,high,medium,med-high,medium,low,med-high,med-low,low,medium,high,med-high,med-low,low,med-low,low,low,64
12,Arizona State NCAA,med-high,med-low,med-high,med-low,med-low,med-high,low,high,low,high,medium,medium,med-low,med-high,medium,low,medium,med-high,low,low,med-high,medium,high,low,medium,med-low,med-low,med-low,med-high,med-high,med-low,high,med-high,medium,medium,low,medium,high,med-high,med-high,64
13,Arkansas NCAA,med-high,low,high,low,med-high,high,low,high,med-low,med-high,low,high,medium,medium,med-high,low,high,low,med-low,medium,low,high,high,med-low,med-high,medium,high,med-low,high,low,medium,medium,low,med-high,low,med-low,med-high,medium,high,medium,16
17,Auburn NCAA,low,low,med-high,low,medium,high,low,med-high,med-low,med-low,low,high,med-low,med-low,medium,low,high,med-low,low,med-low,medium,med-high,high,low,medium,med-high,med-high,medium,high,med-low,med-low,med-high,medium,high,med-high,low,medium,high,high,medium,32
20,Baylor NCAA,low,med-low,medium,med-low,high,high,low,med-high,med-low,med-high,med-low,med-low,medium,medium,med-low,high,high,high,med-high,medium,med-high,med-low,low,med-high,medium,high,high,high,medium,med-high,high,medium,high,medium,med-high,high,med-high,high,medium,low,32
25,Boise State NCAA,low,medium,medium,medium,medium,medium,medium,med-low,med-low,low,med-low,medium,low,low,med-low,med-low,med-low,medium,medium,med-high,low,low,low,medium,medium,med-low,med-low,med-low,med-low,medium,med-low,med-low,low,low,med-high,med-low,med-low,low,med-low,medium,64
55,Colgate NCAA,med-low,medium,med-low,medium,low,low,high,low,med-low,med-low,high,low,med-high,medium,med-low,high,low,med-low,high,medium,high,medium,low,high,low,low,low,high,low,medium,high,medium,med-high,medium,medium,high,med-low,low,low,high,64
56,College of Charleston NCAA,med-low,high,low,high,med-low,low,high,low,high,low,high,low,high,medium,high,med-high,medium,high,med-low,high,low,medium,low,med-low,med-low,high,med-high,low,low,low,med-low,low,med-low,med-low,high,medium,medium,med-low,low,med-high,64
60,Connecticut NCAA,high,high,low,high,high,med-high,medium,med-high,medium,med-low,med-low,med-low,high,med-high,medium,high,med-low,med-high,med-high,high,high,med-low,high,med-high,med-high,high,medium,low,high,low,low,low,low,med-high,med-low,low,medium,med-low,high,low,1
63,Creighton NCAA,high,medium,med-high,med-low,high,high,medium,medium,low,med-low,med-low,medium,high,high,medium,medium,low,med-high,high,med-high,med-high,low,medium,med-high,medium,low,med-low,medium,low,low,low,med-low,low,medium,medium,med-low,low,low,low,med-low,8
72,Drake NCAA,med-low,med-high,low,med-high,med-low,med-low,med-high,med-low,med-low,low,med-low,medium,medium,med-low,med-low,medium,low,medium,med-high,medium,med-low,low,low,med-high,med-low,low,med-low,low,med-low,med-high,low,med-low,low,low,low,low,med-low,low,low,med-high,64
74,Duke NCAA,med-high,med-high,med-low,med-high,med-high,medium,medium,medium,high,low,low,medium,med-low,med-low,low,medium,med-low,medium,med-low,high,med-high,med-low,med-high,med-low,med-high,high,medium,med-low,low,medium,low,low,medium,med-high,high,low,low,med-low,low,med-low,32
86,FDU NCAA,high,low,high,low,low,low,low,medium,low,high,med-high,high,high,high,med-high,medium,low,med-high,med-low,med-low,med-low,med-high,low,medium,med-low,med-high,low,high,med-high,high,high,med-high,high,med-low,high,high,high,med-high,high,high,32
89,Florida Atlantic NCAA,high,high,low,high,medium,med-low,high,low,high,low,high,low,high,high,medium,high,med-low,high,med-high,high,med-low,med-low,low,high,medium,medium,low,low,low,med-low,low,low,low,medium,low,low,med-low,low,med-low,medium,4
95,Furman NCAA,med-high,med-high,low,med-high,med-low,low,med-high,low,med-low,med-low,med-high,low,high,high,med-high,high,med-high,high,high,medium,high,med-low,med-low,high,med-low,med-low,med-high,high,medium,med-low,med-high,medium,low,med-low,med-high,med-high,medium,medium,medium,med-high,32
104,Gonzaga NCAA,high,high,low,high,high,med-high,medium,low,medium,low,medium,low,high,high,high,high,medium,low,high,med-high,med-low,medium,medium,high,low,medium,medium,high,low,med-high,high,low,med-low,low,low,high,medium,med-low,low,low,8
106,Grand Canyon NCAA,med-high,medium,med-high,med-low,low,med-low,low,med-high,med-low,high,med-low,med-low,med-high,medium,med-low,med-high,med-high,med-high,med-high,medium,low,low,med-low,med-high,med-high,medium,med-high,med-high,med-high,low,low,medium,low,med-low,medium,low,low,med-high,medium,high,64
115,Houston NCAA,high,high,low,high,high,med-low,high,low,high,med-low,high,low,med-high,low,low,high,low,med-high,medium,high,medium,high,high,medium,low,high,low,low,high,high,low,low,med-high,med-low,low,low,med-high,medium,med-high,low,16
117,Howard NCAA,med-low,low,med-high,low,low,low,low,low,low,med-low,med-low,high,medium,high,high,low,medium,medium,medium,medium,med-high,medium,med-low,med-high,high,high,medium,med-high,high,medium,med-high,medium,med-low,high,medium,high,high,high,med-high,high,64
120,Illinois NCAA,low,low,med-high,low,med-high,medium,low,high,medium,med-low,low,med-high,low,low,med-high,low,med-high,high,med-low,med-high,low,medium,high,med-low,med-high,medium,medium,med-low,medium,low,med-low,med-low,low,high,medium,med-low,medium,medium,medium,medium,64
124,Indiana NCAA,med-low,med-low,med-high,med-low,med-high,med-high,med-low,med-high,medium,med-low,med-low,med-high,medium,medium,medium,medium,med-low,low,medium,med-low,medium,low,high,med-high,medium,med-low,low,med-high,medium,med-high,med-low,med-high,medium,med-high,med-low,med-low,low,med-high,med-low,med-low,32
126,Iona NCAA,med-low,med-high,low,med-high,med-low,low,high,low,low,low,med-high,low,medium,med-low,medium,medium,med-low,low,med-low,med-low,medium,med-high,high,medium,low,medium,low,med-low,medium,med-low,low,med-high,med-high,low,low,low,med-high,high,medium,med-high,64
127,Iowa NCAA,low,low,high,low,medium,med-high,low,high,med-low,med-high,low,med-high,medium,med-high,med-high,high,medium,medium,med-low,medium,med-high,med-low,med-low,medium,low,med-high,medium,high,low,low,high,medium,medium,med-low,med-high,high,med-low,medium,low,medium,64
128,Iowa State NCAA,low,low,high,low,med-high,high,low,high,low,med-high,low,high,low,low,low,low,low,med-low,low,med-high,medium,high,med-high,low,high,med-high,low,low,high,high,high,med-low,high,high,med-low,med-high,high,medium,high,med-low,64
134,Kansas NCAA,med-high,med-high,low,med-high,high,high,medium,med-low,medium,low,medium,low,med-high,med-high,med-high,med-low,med-low,med-low,medium,med-low,high,high,med-high,medium,med-high,med-low,med-low,med-low,medium,medium,med-low,med-high,med-low,medium,low,med-low,med-high,med-high,medium,low,32
136,Kansas State NCAA,med-high,medium,medium,medium,med-high,high,low,med-high,high,low,low,med-high,med-high,med-high,high,med-low,med-high,medium,med-high,med-low,high,med-high,low,medium,high,medium,high,med-low,high,medium,medium,med-high,high,high,high,medium,med-high,high,high,low,8
137,Kennesaw State NCAA,med-low,medium,med-low,medium,low,low,med-high,low,medium,low,high,medium,medium,medium,med-high,med-low,med-high,med-high,medium,med-low,medium,med-high,low,med-high,med-high,med-low,medium,medium,high,med-high,med-high,med-high,med-low,med-high,medium,med-high,med-high,med-low,med-high,high,64
138,Kent State NCAA,med-low,med-high,low,high,med-low,med-low,med-high,low,medium,low,high,medium,medium,med-low,med-high,medium,med-low,med-high,med-low,med-low,low,high,med-high,med-low,med-low,medium,med-low,low,high,high,medium,med-high,medium,low,med-low,med-low,high,med-high,high,med-high,64
139,Kentucky NCAA,low,low,med-high,med-low,med-high,med-high,med-low,medium,med-low,high,med-low,low,med-low,med-low,med-low,med-high,medium,low,low,high,med-high,med-low,medium,low,medium,high,medium,med-high,medium,medium,med-high,low,medium,medium,low,medium,low,med-low,medium,med-low,32
151,Louisiana NCAA,low,medium,low,med-high,low,med-low,medium,med-low,med-low,low,medium,med-high,medium,medium,medium,med-high,high,low,med-high,high,med-low,medium,low,med-high,medium,med-high,med-high,med-high,med-high,low,med-high,low,low,med-high,med-low,med-high,med-low,med-low,med-high,med-high,64
162,Marquette NCAA,med-high,high,low,high,high,med-high,high,low,high,low,high,low,high,high,medium,high,low,high,high,low,high,high,med-low,high,low,low,low,med-high,med-low,medium,med-high,high,high,med-low,med-high,high,high,high,med-low,low,32
164,Maryland NCAA,med-low,low,med-high,low,med-high,med-high,low,high,high,low,low,high,low,low,low,med-low,med-high,medium,med-low,med-low,low,low,medium,low,med-low,medium,med-high,medium,med-low,low,medium,med-high,med-low,low,high,medium,med-low,med-high,med-low,medium,32
170,Memphis NCAA,med-low,medium,med-low,medium,med-high,medium,medium,med-low,low,med-low,medium,med-low,med-high,med-high,high,medium,med-high,low,med-high,med-low,medium,high,high,med-high,high,medium,med-high,medium,med-high,high,medium,med-high,high,high,med-high,med-low,med-high,high,high,medium,64
173,Miami (FL) NCAA,high,high,low,high,medium,medium,med-high,med-low,high,low,medium,low,high,high,medium,high,med-low,med-low,high,medium,med-low,med-high,med-low,med-high,med-low,med-high,medium,high,low,med-high,high,medium,med-high,medium,medium,high,med-low,med-high,low,med-low,4
176,Michigan State NCAA,low,low,med-high,low,medium,high,low,med-high,low,med-low,med-low,med-high,low,med-low,low,med-low,low,med-low,med-low,medium,med-high,low,med-low,medium,med-low,med-low,low,high,med-low,med-high,medium,med-low,med-high,medium,med-high,medium,low,med-low,med-low,med-low,16
181,Mississippi State NCAA,low,low,med-high,low,med-low,medium,low,high,low,high,low,medium,low,low,low,low,medium,med-low,low,med-high,high,high,med-high,low,high,high,med-low,low,med-low,high,low,med-low,high,med-high,medium,low,high,med-high,med-low,med-high,68
183,Missouri NCAA,med-low,medium,medium,medium,med-low,medium,low,med-high,high,med-high,med-low,med-low,med-high,high,med-high,med-high,med-low,high,high,low,med-high,high,med-low,high,med-low,low,med-low,high,med-high,high,high,high,high,medium,low,high,high,high,high,med-low,32
187,Montana State NCAA,med-low,medium,medium,medium,low,med-low,med-high,low,low,low,high,med-low,med-low,medium,med-low,med-low,high,med-low,med-high,medium,low,med-low,med-low,medium,med-high,low,high,medium,med-high,med-low,med-high,medium,low,med-low,low,med-high,med-high,low,high,high,64
193,NC State NCAA,low,med-low,medium,med-low,medium,med-low,med-low,med-high,medium,med-low,low,medium,medium,medium,med-high,med-high,low,medium,low,medium,low,med-high,med-high,med-low,low,medium,low,med-high,med-high,med-low,med-high,medium,med-low,low,low,med-high,medium,med-low,high,medium,64
195,Nevada NCAA,low,low,medium,med-low,med-low,medium,med-low,medium,med-low,low,med-low,med-high,low,med-low,med-low,med-low,high,medium,med-high,low,high,med-low,medium,med-low,low,low,high,med-high,med-high,high,med-high,high,med-high,low,medium,med-high,medium,low,med-high,med-high,68
218,Northern Kentucky NCAA,med-low,low,med-high,low,low,low,medium,medium,med-low,med-high,med-low,medium,low,low,low,low,low,med-high,low,low,med-high,high,med-low,low,medium,med-high,low,medium,medium,med-high,med-high,high,high,medium,med-low,high,high,high,med-low,high,64
219,Northwestern NCAA,low,low,med-high,med-low,medium,med-high,med-low,med-high,low,high,medium,low,low,low,low,low,med-low,med-high,low,low,medium,high,high,low,low,med-low,medium,med-low,med-high,high,medium,high,high,low,med-high,medium,high,medium,medium,medium,32
229,Oral Roberts NCAA,med-low,high,low,high,med-low,low,high,low,high,low,high,low,high,med-high,high,high,low,high,high,low,low,med-low,high,high,low,low,low,medium,low,med-high,med-low,high,med-low,low,med-low,medium,med-low,medium,low,med-high,64
233,Penn State NCAA,high,med-low,high,low,medium,high,low,high,low,high,low,med-high,medium,med-high,low,med-high,low,high,high,low,med-low,low,low,high,low,low,low,high,low,medium,medium,high,med-high,low,med-high,med-high,low,med-low,low,medium,32
236,Pittsburgh NCAA,med-high,medium,med-high,med-low,med-low,med-low,medium,medium,med-low,med-high,medium,med-low,med-high,med-high,med-low,med-high,medium,high,med-high,med-low,medium,low,med-high,medium,med-low,medium,med-high,high,medium,med-high,medium,med-high,med-high,low,high,medium,low,med-high,medium,med-high,32
241,Princeton NCAA,low,med-low,med-low,medium,med-low,med-low,low,med-low,low,med-high,medium,low,low,low,medium,med-low,med-low,med-high,medium,high,low,low,med-low,medium,medium,med-low,med-low,medium,med-low,low,med-low,low,low,medium,med-high,medium,low,low,med-low,high,16
242,Providence NCAA,low,low,med-high,med-low,medium,medium,medium,med-high,medium,med-low,med-low,medium,med-low,medium,med-low,med-high,high,low,med-low,med-high,medium,medium,med-high,med-low,med-low,high,high,high,low,med-low,med-high,low,medium,medium,med-high,med-high,med-low,medium,low,med-high,64
243,Purdue NCAA,med-low,high,low,high,high,med-high,med-high,med-low,med-low,med-low,med-high,low,med-low,low,low,high,high,med-high,medium,high,high,low,medium,medium,medium,high,high,med-low,low,medium,low,low,med-high,med-high,medium,med-low,low,low,low,low,64
259,Saint Mary's (CA) NCAA,med-low,med-high,low,med-high,high,medium,medium,low,high,med-low,med-low,low,med-low,low,low,medium,medium,medium,med-low,high,low,med-high,medium,medium,med-low,med-high,med-low,low,medium,low,medium,low,low,low,high,med-low,med-high,low,med-high,med-low,32
264,San Diego State NCAA,high,high,low,high,med-high,high,med-high,low,medium,low,med-high,low,med-high,med-high,med-low,med-low,medium,med-low,low,med-high,med-low,medium,med-high,low,medium,med-high,medium,low,med-low,high,med-low,med-low,med-low,med-high,med-low,low,medium,med-low,medium,med-low,2
278,Southeast Missouri State NCAA,med-high,low,high,low,low,low,low,med-high,low,high,med-low,high,med-high,high,high,low,high,med-high,low,low,med-low,med-low,medium,low,med-high,low,high,med-high,high,medium,high,high,medium,med-high,med-low,high,medium,medium,high,high,68
281,Southern California NCAA,low,low,medium,med-low,medium,medium,medium,medium,medium,med-low,med-low,med-low,low,low,medium,low,medium,med-low,med-low,low,med-low,medium,high,med-low,high,med-low,med-high,medium,medium,medium,low,high,high,high,med-low,low,med-low,high,medium,medium,64
299,TCU NCAA,med-low,low,med-high,low,med-high,med-high,low,high,low,high,low,med-high,medium,medium,high,low,med-high,low,low,med-low,med-high,med-high,med-high,low,med-low,med-high,medium,med-low,medium,med-low,medium,med-high,med-high,medium,high,medium,high,high,med-low,med-low,32
301,Tennessee NCAA,med-high,medium,medium,medium,high,medium,low,med-high,med-low,med-low,low,medium,med-low,low,med-low,med-low,med-low,med-high,low,high,high,high,med-high,low,medium,high,med-low,low,med-high,high,low,low,medium,high,medium,low,high,medium,med-high,low,16
305,Texas NCAA,high,high,med-low,med-high,high,high,med-low,medium,high,low,low,medium,high,high,med-high,medium,med-low,med-low,med-high,low,med-high,med-high,medium,med-high,med-low,med-low,medium,med-low,med-high,med-low,med-high,high,med-low,med-low,med-low,medium,high,med-high,med-high,low,8
306,Texas A&M NCAA,med-low,medium,medium,medium,medium,medium,med-high,low,medium,low,medium,low,med-low,med-low,med-low,medium,high,med-low,med-low,med-high,medium,medium,low,low,med-high,high,high,medium,med-high,high,medium,med-low,high,high,high,medium,med-high,high,med-high,med-low,64
307,Texas A&M-Corpus Christi NCAA,med-low,medium,medium,medium,low,low,medium,med-low,low,med-low,med-high,med-high,med-high,high,high,med-high,med-high,med-low,medium,med-high,med-high,med-high,low,med-low,medium,med-high,high,med-high,high,high,high,med-low,high,medium,medium,high,med-high,medium,med-high,high,64
308,Texas Southern NCAA,med-low,low,high,low,low,low,low,high,low,high,low,high,low,med-high,high,low,medium,low,low,medium,low,med-low,medium,low,high,medium,medium,medium,high,medium,med-high,medium,med-low,high,med-low,med-high,medium,medium,high,high,68
323,UC Santa Barbara NCAA,med-low,med-high,low,med-high,low,med-low,med-high,med-low,low,med-high,high,low,med-low,med-low,low,medium,med-high,low,high,medium,medium,medium,low,high,med-high,low,med-high,med-high,med-low,low,med-high,medium,medium,low,low,med-high,medium,med-low,medium,high,64
325,UCLA NCAA,high,high,low,high,high,med-high,high,low,high,low,high,low,med-high,med-low,med-low,med-high,low,low,low,medium,med-low,high,med-high,med-low,low,med-high,low,low,med-low,med-high,low,med-low,medium,low,low,med-low,high,med-high,med-low,low,16
326,UNC Asheville NCAA,med-low,med-high,low,med-high,low,low,high,low,low,low,high,medium,medium,medium,medium,low,high,medium,high,med-low,low,med-low,medium,high,high,low,high,medium,low,med-low,med-low,med-high,med-low,high,high,medium,med-low,med-high,low,high,64
331,Utah State NCAA,med-low,medium,med-low,medium,medium,medium,medium,med-low,med-low,med-low,med-low,low,med-high,medium,medium,high,med-high,high,high,med-high,high,low,medium,high,med-high,med-low,med-high,med-high,medium,med-low,medium,med-low,med-low,med-low,med-low,medium,low,low,med-high,medium,64
338,Vermont NCAA,low,med-low,medium,med-low,low,low,medium,low,low,low,high,medium,low,med-low,low,medium,low,high,med-high,low,med-low,med-low,med-low,high,low,low,low,med-high,med-low,medium,high,high,med-low,low,medium,high,med-low,low,med-low,high,64
340,Virginia NCAA,low,medium,low,med-high,medium,med-low,med-high,med-low,medium,low,med-low,med-low,low,low,low,med-low,med-high,medium,med-low,low,high,med-high,high,med-low,low,low,med-high,med-low,low,high,medium,high,med-high,low,high,medium,medium,low,med-low,med-low,64
341,Virginia Commonwealth NCAA,med-low,med-high,low,med-high,med-low,med-low,med-high,low,medium,med-high,med-high,low,med-low,low,medium,low,high,low,medium,low,medium,high,high,medium,high,med-low,high,low,medium,med-low,med-low,high,med-high,med-high,high,med-low,high,high,medium,med-high,64
349,West Virginia NCAA,low,low,high,low,med-high,high,low,high,low,high,low,high,med-low,medium,med-high,medium,high,medium,medium,medium,med-low,med-low,medium,med-low,high,med-high,high,high,high,med-low,high,medium,medium,med-high,low,high,med-high,med-high,high,medium,64
361,Xavier NCAA,high,med-high,medium,medium,med-high,high,med-high,med-low,medium,med-low,medium,low,high,high,high,med-high,medium,low,high,med-high,high,med-low,low,high,medium,medium,med-low,high,med-low,low,med-high,med-low,med-high,med-high,med-high,med-high,low,low,med-low,low,16
