Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,34,16,18,.471,-4.12,-1.12,,10,10,,8,6,,5,10,,2452,2500,,71.1,100.3,.381,.267,.522,47.7,50.1,10.7,5.5,.479,15.6,26.6,.277
2,Air Force,31,9,22,.290,-4.77,1.43,,2,16,,4,12,,5,8,,2051,2243,,63.4,103.6,.296,.472,.560,46.2,62.0,10.2,11.8,.538,16.9,23.8,.202
3,Akron NCAA,35,24,11,.686,2.77,-2.08,,13,5,,13,1,,7,6,,2577,2316,,66.9,109.6,.318,.428,.555,53.0,49.7,8.4,8.0,.523,14.5,30.6,.231
4,Alabama NCAA,37,25,12,.676,20.69,11.80,,13,5,,14,2,,5,5,,3335,3006,,73.9,121.1,.353,.465,.599,52.6,51.7,9.3,11.0,.563,13.6,35.0,.273
5,Alabama A&M,35,12,23,.343,-14.35,-7.52,,9,9,,7,5,,4,15,,2414,2653,,71.7,95.8,.472,.269,.514,49.8,45.8,10.4,10.7,.459,19.4,31.9,.341
6,Alabama State,32,13,19,.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,69.7,97.0,.284,.380,.463,50.1,44.7,12.2,12.0,.423,13.2,32.4,.205
7,Albany (NY),32,13,19,.406,-6.60,-5.22,,5,11,,8,5,,5,13,,2517,2521,,74.6,105.1,.288,.368,.538,50.0,44.8,11.1,7.4,.507,15.4,30.5,.209
8,Alcorn State,32,14,18,.438,-11.58,-5.61,,13,5,,7,3,,7,14,,2300,2477,,68.3,104.8,.378,.266,.527,51.4,45.4,10.0,5.7,.487,14.5,33.6,.269
9,American,32,16,16,.500,-8.96,-8.79,,10,8,,8,7,,8,9,,2200,2176,,63.1,108.1,.283,.456,.557,51.6,57.4,9.1,5.5,.530,15.0,28.4,.204
10,Appalachian State,34,27,7,.794,6.04,-2.34,,16,2,,15,0,,8,5,,2665,2283,,69.3,110.7,.313,.321,.552,53.4,49.9,8.7,15.4,.528,13.1,30.7,.213
11,Arizona NCAA,36,27,9,.750,24.54,9.45,,15,5,,15,1,,7,4,,3137,2594,,73.3,116.8,.364,.334,.576,56.6,59.2,11.2,9.5,.545,13.6,35.6,.261
12,Arizona State,32,14,18,.438,4.58,9.55,,8,12,,10,5,,3,8,,2209,2368,,70.6,97.5,.331,.377,.502,45.0,48.7,11.6,10.2,.473,13.2,21.9,.217
13,Arkansas,33,16,17,.485,6.12,8.15,,6,12,,12,6,,2,7,,2566,2633,,72.2,106.1,.453,.329,.556,48.7,45.1,8.2,15.0,.505,14.6,25.2,.342
14,Arkansas State,37,20,17,.541,0.28,-1.53,,11,7,,10,3,,5,11,,2917,2850,,70.0,112.3,.329,.428,.545,52.1,52.5,8.0,10.0,.515,13.4,34.5,.231
15,Arkansas-Pine Bluff,31,13,18,.419,-15.56,-7.60,,8,10,,8,6,,5,12,,2483,2536,,74.3,107.8,.375,.493,.579,47.5,57.4,7.9,5.4,.539,16.1,24.3,.286
16,Army,32,10,22,.313,-14.67,-8.93,,6,12,,6,11,,4,11,,1930,2059,,63.1,94.5,.257,.451,.492,50.0,56.7,9.0,12.2,.477,16.6,27.3,.151
17,Auburn NCAA,35,27,8,.771,22.46,7.66,,13,5,,15,1,,5,5,,2909,2391,,70.9,117.2,.383,.375,.580,52.3,61.6,10.4,15.9,.542,13.0,32.9,.287
18,Austin Peay,35,19,16,.543,-6.13,-4.85,,10,6,,14,3,,4,12,,2619,2561,,65.9,111.6,.310,.365,.542,48.9,41.2,10.7,7.6,.513,11.3,30.0,.219
19,Ball State,31,15,16,.484,-6.68,-5.93,,7,11,,9,7,,6,8,,2280,2200,,67.8,107.2,.385,.371,.558,50.9,50.1,8.0,8.1,.513,15.5,28.3,.295
20,Baylor NCAA,35,24,11,.686,19.50,10.71,,11,7,,15,2,,4,5,,2814,2489,,66.8,117.8,.395,.386,.592,54.6,53.2,9.9,8.6,.558,15.0,35.8,.289
21,Bellarmine,31,8,23,.258,-11.79,-2.47,,4,12,,6,7,,2,16,,2153,2320,,66.8,103.1,.224,.380,.530,46.9,52.7,7.9,5.9,.499,12.7,22.6,.175
22,Belmont,33,20,13,.606,2.79,1.44,,12,8,,12,2,,6,9,,2570,2493,,72.0,107.7,.303,.418,.579,48.6,54.7,10.4,8.1,.553,15.3,21.7,.219
23,Bethune-Cookman,34,17,17,.500,-11.87,-8.87,,11,7,,11,2,,5,11,,2479,2467,,71.8,100.4,.372,.311,.528,48.4,48.1,14.2,9.8,.481,16.7,29.9,.281
24,Binghamton,30,15,15,.500,-9.29,-5.21,,7,9,,10,4,,5,11,,2163,2167,,68.6,104.3,.342,.308,.535,53.6,54.3,7.2,10.3,.508,15.3,30.2,.228
25,Boise State NCAA,33,22,11,.667,13.31,7.35,,13,5,,13,3,,7,3,,2479,2221,,66.9,111.4,.359,.397,.554,55.6,47.1,8.5,6.8,.516,14.1,34.1,.264
26,Boston College,36,20,16,.556,9.48,7.25,,8,12,,10,6,,7,7,,2667,2587,,67.7,108.7,.250,.383,.553,50.7,51.8,8.6,9.4,.525,13.5,27.3,.187
27,Boston University,33,16,17,.485,-9.93,-8.49,,10,8,,9,7,,7,10,,2193,2198,,65.9,99.7,.303,.411,.516,51.5,55.6,9.8,9.6,.482,15.3,26.8,.217
28,Bowling Green State,34,20,14,.588,-4.93,-5.52,,10,8,,12,5,,5,7,,2502,2414,,69.1,104.6,.357,.357,.523,52.2,43.4,9.2,7.2,.484,14.1,30.5,.255
