Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing,Seeding
3,Akron NCAA,low,medium,medium,medium,low,low,medium,low,low,low,medium,medium,low,low,low,low,medium,high,medium,medium,low,low,low,medium,high,medium,low,low,low,medium,medium,medium,low,medium,low,medium,medium,low,low,medium,56
4,Alabama NCAA,high,medium,medium,medium,high,high,medium,low,medium,medium,low,low,high,high,high,high,medium,high,high,medium,medium,medium,medium,high,medium,high,high,high,high,medium,high,medium,low,high,high,high,low,high,high,low,16
11,Arizona NCAA,medium,high,low,high,high,high,high,low,medium,low,medium,low,high,high,high,high,high,low,high,high,high,high,medium,high,medium,high,high,low,low,medium,medium,low,high,high,medium,medium,high,low,low,low,6
17,Auburn NCAA,low,high,low,high,high,medium,medium,low,medium,low,low,low,high,medium,high,high,high,medium,high,medium,high,medium,high,medium,low,medium,high,low,high,low,low,medium,low,high,medium,low,medium,high,high,medium,15
20,Baylor NCAA,low,medium,medium,medium,high,high,low,medium,medium,medium,low,low,high,medium,low,high,high,medium,high,high,medium,medium,low,high,high,high,high,high,medium,low,high,low,high,high,high,high,medium,medium,medium,low,9
25,Boise State NCAA,low,low,medium,low,medium,medium,medium,low,low,medium,medium,low,low,low,low,medium,high,high,medium,high,low,low,low,low,medium,high,high,medium,medium,medium,high,low,medium,medium,high,medium,medium,low,medium,high,38
30,Brigham Young NCAA,low,low,medium,medium,high,medium,low,high,high,medium,low,high,medium,medium,high,high,low,high,high,high,high,low,low,high,medium,medium,low,medium,medium,low,medium,low,low,medium,low,medium,low,low,medium,medium,21
52,Clemson NCAA,medium,medium,medium,low,high,high,low,high,low,high,low,medium,medium,high,medium,medium,low,high,high,medium,medium,low,medium,medium,low,low,medium,high,medium,high,medium,medium,low,medium,low,medium,low,medium,medium,low,22
55,Colgate NCAA,low,medium,medium,medium,low,low,high,low,low,medium,high,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,high,low,medium,high,medium,low,low,medium,low,low,medium,58
56,College of Charleston NCAA,low,high,low,high,low,low,high,low,low,medium,high,low,high,high,high,high,low,high,low,high,medium,low,low,medium,low,high,low,high,low,medium,high,low,low,medium,high,high,low,low,low,medium,54
57,Colorado NCAA,high,medium,medium,medium,high,medium,medium,medium,high,low,low,high,high,high,medium,high,medium,low,high,high,high,low,low,high,high,medium,high,medium,low,low,medium,low,low,high,medium,high,low,low,low,low,39
58,Colorado State NCAA,medium,medium,medium,medium,medium,medium,low,high,medium,medium,low,high,medium,medium,low,medium,medium,medium,high,low,high,medium,low,high,medium,low,medium,medium,medium,low,medium,high,low,low,medium,low,medium,medium,medium,medium,42
60,Connecticut NCAA,high,high,low,high,high,high,high,low,high,low,high,low,high,high,low,high,medium,high,high,high,high,medium,high,high,low,high,medium,low,medium,low,low,low,low,low,medium,low,low,medium,medium,low,1
63,Creighton NCAA,low,medium,medium,medium,high,high,medium,medium,medium,medium,high,low,high,medium,medium,high,low,high,high,high,high,low,low,high,medium,low,low,medium,low,low,low,low,low,medium,medium,low,low,low,low,low,10
66,Dayton NCAA,low,medium,low,high,medium,medium,medium,low,medium,low,low,low,low,low,low,high,high,high,high,low,high,low,high,high,high,low,high,medium,low,high,low,high,medium,high,high,medium,low,medium,low,low,28
72,Drake NCAA,low,high,low,high,medium,low,high,low,high,low,low,low,high,medium,medium,high,medium,high,high,low,medium,low,low,high,low,low,medium,medium,medium,medium,high,high,low,low,low,high,medium,low,medium,medium,40
74,Duke NCAA,medium,high,low,high,high,medium,high,low,medium,medium,medium,low,high,medium,medium,high,medium,medium,high,high,medium,medium,medium,high,low,medium,medium,low,low,low,low,low,medium,low,high,medium,medium,low,low,low,13
75,Duquesne NCAA,high,medium,medium,medium,low,medium,low,high,low,high,low,medium,low,medium,low,low,medium,medium,low,low,medium,high,high,low,high,medium,medium,medium,high,medium,medium,high,high,high,high,medium,high,high,high,low,46
87,Florida NCAA,medium,medium,medium,low,medium,high,low,medium,medium,low,low,high,high,high,high,high,high,low,medium,high,low,low,high,low,medium,high,high,high,high,low,medium,low,low,high,high,medium,low,high,high,medium,25
