Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
3,Akron NCAA,35,24,11,0.686,2.77,-2.08,13,5,13,1,7,6,2577,2316,66.9,109.6,0.318,0.428,0.555,53,49.7,8.4,8,0.523,14.5,30.6,0.231,98.5,0.283,0.372,0.514,47,45.8,8.7,7.5,0.486,15.2,25.2,0.194,64
4,Alabama NCAA,37,25,12,0.676,20.69,11.8,13,5,14,2,5,5,3335,3006,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11,0.563,13.6,35,0.273,109.2,0.388,0.371,0.54,47.4,45.9,9.9,12.8,0.496,13.1,31,0.286,4
11,Arizona NCAA,36,27,9,0.75,24.54,9.45,15,5,15,1,7,4,3137,2594,73.3,116.8,0.364,0.334,0.576,56.6,59.2,11.2,9.5,0.545,13.6,35.6,0.261,96.6,0.259,0.379,0.513,43.4,52.3,9.3,8.5,0.484,16,23.3,0.184,16
17,Auburn NCAA,35,27,8,0.771,22.46,7.66,13,5,15,1,5,5,2909,2391,70.9,117.2,0.383,0.375,0.58,52.3,61.6,10.4,15.9,0.542,13,32.9,0.287,96.4,0.415,0.334,0.492,47.7,42.7,9.4,8.5,0.437,15.6,30.2,0.305,64
20,Baylor NCAA,35,24,11,0.686,19.5,10.71,11,7,15,2,4,5,2814,2489,66.8,117.8,0.395,0.386,0.592,54.6,53.2,9.9,8.6,0.558,15,35.8,0.289,104.2,0.303,0.356,0.547,45.4,53,10.2,9.8,0.515,15.4,27.1,0.223,32
25,Boise State NCAA,33,22,11,0.667,13.31,7.35,13,5,13,3,7,3,2479,2221,66.9,111.4,0.359,0.397,0.554,55.6,47.1,8.5,6.8,0.516,14.1,34.1,0.264,99.8,0.319,0.369,0.53,44.4,48.5,8.5,10.7,0.495,15.3,22.2,0.232,68
30,Brigham Young NCAA,34,23,11,0.676,19.33,7.86,10,8,16,2,3,7,2768,2378,69.9,116.4,0.254,0.504,0.573,54.2,63.4,8.5,7.6,0.548,13.1,32.8,0.188,100,0.32,0.34,0.515,45.8,47.3,8.7,7.5,0.482,14.2,24.6,0.224,64
52,Clemson NCAA,36,24,12,0.667,16.2,10.04,11,9,12,4,6,6,2785,2563,67.8,113.4,0.307,0.399,0.575,51.6,53.8,6.7,10.9,0.539,13,27.2,0.24,104.3,0.321,0.411,0.52,48.4,44.7,8.9,7.1,0.482,12.1,26.6,0.235,8
55,Colgate NCAA,35,25,10,0.714,-0.31,-5.55,16,2,13,3,10,5,2498,2242,66.4,107.5,0.273,0.383,0.559,51.9,56.6,9.8,10.1,0.538,14.1,25.3,0.186,96.5,0.24,0.402,0.498,48.1,53.2,8.5,7,0.475,14.9,24.5,0.161,64
56,College of Charleston NCAA,35,27,8,0.771,4.09,-2.38,15,3,13,2,10,2,2832,2575,70.4,114.6,0.275,0.471,0.55,53.1,53.3,8.9,8.1,0.522,11.9,33.6,0.198,104.2,0.288,0.371,0.536,46.9,43.3,8.7,9.5,0.508,14.4,25.9,0.203,64
57,Colorado NCAA,37,26,11,0.703,15.95,8.36,13,7,16,1,4,7,2935,2654,69,113.8,0.351,0.306,0.593,55,57.2,8.6,5.5,0.554,15.9,31.9,0.275,102.9,0.273,0.352,0.526,45,43.7,10.5,9.2,0.497,13.4,24.8,0.194,32
58,Colorado State NCAA,36,25,11,0.694,13.4,7.28,10,8,15,2,4,7,2707,2422,66.7,111.9,0.317,0.386,0.581,50.5,66.1,9.3,8.4,0.549,13.9,25,0.239,100.2,0.314,0.337,0.519,49.5,47.1,8.1,8,0.48,15.1,26.6,0.233,64
60,Connecticut NCAA,40,37,3,0.925,26.7,8.7,18,2,16,0,9,3,3256,2536,66,123.3,0.319,0.402,0.597,56.3,63.6,9.3,14.2,0.569,12.3,36.7,0.237,96,0.311,0.329,0.485,43.7,44.7,8.1,8.3,0.444,13.9,26.7,0.226,1
63,Creighton NCAA,35,25,10,0.714,20.07,9.53,14,6,14,2,8,5,2815,2446,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194,100.9,0.16,0.279,0.489,46.9,41.3,8.7,9.1,0.463,9.6,24.9,0.126,16
66,Dayton NCAA,33,25,8,0.758,13.45,5.73,14,4,15,0,6,5,2448,2193,64.8,114.1,0.367,0.443,0.595,50.6,58.1,8.5,11.1,0.563,14.3,26.3,0.272,102.2,0.219,0.401,0.51,49.4,51.1,9.1,10.3,0.483,13.7,28.6,0.16,32
72,Drake NCAA,35,28,7,0.8,11.08,1.84,16,4,16,0,6,5,2797,2463,68.4,113.9,0.328,0.394,0.582,51.2,56.4,9.2,4.6,0.549,12.3,24.2,0.247,100.3,0.309,0.388,0.537,48.8,41.8,7.8,7.4,0.507,15.8,22.9,0.218,64
74,Duke NCAA,36,27,9,0.75,20.67,8.36,15,5,15,3,7,4,2830,2387,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248,98.8,0.281,0.347,0.512,46.3,50.9,7.9,12,0.485,14.9,25.9,0.191,8
75,Duquesne NCAA,37,25,12,0.676,7.35,4.68,10,8,13,4,5,6,2611,2467,66.9,105.5,0.323,0.389,0.536,50.4,54,11.2,12.6,0.503,15.1,30.5,0.232,99.7,0.346,0.377,0.52,49.6,53.2,9.5,10.9,0.483,17,29.9,0.245,32
87,Florida NCAA,36,24,12,0.667,15.17,8.81,11,7,14,1,3,7,3080,2851,73.1,115.1,0.384,0.345,0.554,54.1,50.7,9,12.1,0.518,13.1,37.3,0.275,106.5,0.348,0.324,0.529,45.9,42.4,10.1,9.4,0.493,12.6,28.8,0.248,64
89,Florida Atlantic NCAA,34,25,9,0.735,13.26,4.61,14,4,13,1,5,5,2789,2495,69.1,116.2,0.349,0.391,0.577,52.8,50.9,10.2,7.8,0.547,13.8,33.4,0.251,103.9,0.273,0.361,0.527,47.2,39,8.5,6.6,0.496,14.3,29.2,0.198,64
104,Gonzaga NCAA,35,27,8,0.771,17.93,4.02,14,2,13,2,8,2,2959,2420,69.8,121.1,0.305,0.312,0.598,55,52.2,9.5,9.8,0.574,12.1,33.9,0.22,99.1,0.249,0.367,0.499,45,49.2,7.8,6,0.468,13.9,27.5,0.179,16
105,Grambling NCAA,36,21,15,0.583,-9.63,-5.48,14,4,9,3,7,9,2436,2506,66.9,100.1,0.384,0.28,0.527,49,41.2,10.9,8.6,0.487,17,29.8,0.272,102.9,0.325,0.344,0.532,51,55.6,10.4,7.5,0.496,16.4,32.3,0.236,64
106,Grand Canyon NCAA,35,30,5,0.857,10.45,-0.52,17,3,16,0,8,3,2769,2346,69.8,112.9,0.45,0.363,0.568,53.1,45.9,11.8,14.3,0.521,15,34.4,0.337,95.6,0.333,0.34,0.497,46.9,48.2,8.7,7.3,0.458,17.1,30.1,0.235,32
